3482 3397
0.003051 -0.000081 -0.001065 
0.003058 -0.000022 -0.001087 
0.003065 0.000039 -0.001103 
0.003070 0.000101 -0.001112 
0.003072 0.000165 -0.001116 
0.003070 0.000228 -0.001113 
0.003066 0.000290 -0.001103 
0.003058 0.000351 -0.001087 
0.003051 0.000410 -0.001065 
0.003030 0.000541 -0.001065 
0.003001 0.000669 -0.001065 
0.002964 0.000796 -0.001065 
0.002918 0.000919 -0.001065 
0.002864 0.001040 -0.001065 
0.002803 0.001157 -0.001065 
0.002733 0.001269 -0.001065 
0.002657 0.001376 -0.001065 
0.002574 0.001479 -0.001065 
0.002484 0.001575 -0.001065 
0.002388 0.001665 -0.001065 
0.002286 0.001749 -0.001065 
0.002179 0.001826 -0.001065 
0.002067 0.001896 -0.001065 
0.001951 0.001958 -0.001065 
0.001831 0.002013 -0.001065 
0.001707 0.002059 -0.001065 
0.001581 0.002097 -0.001065 
0.001452 0.002127 -0.001065 
0.001322 0.002148 -0.001065 
0.001191 0.002161 -0.001065 
0.001059 0.002165 -0.001065 
0.000927 0.002160 -0.001065 
0.000796 0.002147 -0.001065 
0.000666 0.002124 -0.001065 
0.000538 0.002094 -0.001065 
0.000412 0.002055 -0.001065 
0.000289 0.002008 -0.001065 
0.000169 0.001952 -0.001065 
0.000053 0.001889 -0.001065 
-0.000058 0.001819 -0.001065 
-0.000165 0.001741 -0.001065 
-0.000166 0.001742 -0.001085 
-0.000167 0.001744 -0.001104 
-0.000170 0.001748 -0.001123 
-0.000174 0.001753 -0.001142 
-0.000179 0.001760 -0.001160 
-0.000186 0.001768 -0.001177 
-0.000193 0.001777 -0.001192 
-0.000201 0.001787 -0.001207 
-0.000210 0.001799 -0.001220 
-0.000220 0.001811 -0.001232 
-0.000230 0.001825 -0.001242 
-0.000241 0.001839 -0.001250 
-0.000252 0.001853 -0.001257 
-0.000264 0.001868 -0.001262 
-0.000276 0.001883 -0.001264 
-0.000288 0.001899 -0.001265 
-0.000164 0.001989 -0.001265 
-0.000034 0.002070 -0.001265 
0.000102 0.002142 -0.001265 
0.000242 0.002205 -0.001265 
0.000387 0.002257 -0.001265 
0.000534 0.002300 -0.001265 
0.000684 0.002331 -0.001265 
0.000836 0.002353 -0.001265 
0.000990 0.002363 -0.001265 
0.001143 0.002363 -0.001265 
0.001296 0.002353 -0.001265 
0.001448 0.002331 -0.001265 
0.001599 0.002299 -0.001265 
0.001746 0.002257 -0.001265 
0.001890 0.002204 -0.001265 
0.002031 0.002142 -0.001265 
0.002166 0.002070 -0.001265 
0.002296 0.001988 -0.001265 
0.002421 0.001898 -0.001265 
0.002538 0.001799 -0.001265 
0.002649 0.001693 -0.001265 
0.002751 0.001579 -0.001265 
0.002846 0.001458 -0.001265 
0.002932 0.001330 -0.001265 
0.003008 0.001197 -0.001265 
0.003076 0.001059 -0.001265 
0.003133 0.000917 -0.001265 
0.003181 0.000771 -0.001265 
0.003218 0.000622 -0.001265 
0.003244 0.000471 -0.001265 
0.003260 0.000318 -0.001265 
0.003266 0.000165 -0.001265 
0.003260 0.000011 -0.001265 
0.003244 -0.000141 -0.001265 
0.003218 -0.000293 -0.001265 
0.003181 -0.000442 -0.001265 
0.003133 -0.000588 -0.001265 
0.003076 -0.000730 -0.001265 
0.003008 -0.000868 -0.001265 
0.002932 -0.001001 -0.001265 
0.002846 -0.001128 -0.001265 
0.002751 -0.001249 -0.001265 
0.002649 -0.001363 -0.001265 
0.002538 -0.001470 -0.001265 
0.002421 -0.001569 -0.001265 
0.002296 -0.001659 -0.001265 
0.002166 -0.001740 -0.001265 
0.002031 -0.001812 -0.001265 
0.001890 -0.001875 -0.001265 
0.001746 -0.001927 -0.001265 
0.001599 -0.001970 -0.001265 
0.001448 -0.002002 -0.001265 
0.001296 -0.002023 -0.001265 
0.001143 -0.002034 -0.001265 
0.000990 -0.002034 -0.001265 
0.000836 -0.002023 -0.001265 
0.000684 -0.002002 -0.001265 
0.000534 -0.001970 -0.001265 
0.000387 -0.001928 -0.001265 
0.000242 -0.001875 -0.001265 
0.000102 -0.001813 -0.001265 
-0.000034 -0.001741 -0.001265 
-0.000164 -0.001660 -0.001265 
-0.000288 -0.001569 -0.001265 
-0.000276 -0.001554 -0.001264 
-0.000264 -0.001539 -0.001262 
-0.000252 -0.001524 -0.001257 
-0.000241 -0.001509 -0.001250 
-0.000230 -0.001495 -0.001242 
-0.000220 -0.001482 -0.001232 
-0.000210 -0.001469 -0.001220 
-0.000201 -0.001458 -0.001207 
-0.000193 -0.001447 -0.001192 
-0.000186 -0.001438 -0.001177 
-0.000179 -0.001430 -0.001160 
-0.000174 -0.001424 -0.001142 
-0.000170 -0.001418 -0.001123 
-0.000167 -0.001415 -0.001104 
-0.000166 -0.001412 -0.001085 
-0.000165 -0.001412 -0.001065 
-0.000058 -0.001489 -0.001065 
0.000053 -0.001560 -0.001065 
0.000169 -0.001623 -0.001065 
0.000289 -0.001678 -0.001065 
0.000412 -0.001725 -0.001065 
0.000538 -0.001764 -0.001065 
0.000666 -0.001795 -0.001065 
0.000796 -0.001817 -0.001065 
0.000927 -0.001830 -0.001065 
0.001059 -0.001835 -0.001065 
0.001191 -0.001831 -0.001065 
0.001322 -0.001819 -0.001065 
0.001452 -0.001798 -0.001065 
0.001581 -0.001768 -0.001065 
0.001707 -0.001730 -0.001065 
0.001831 -0.001683 -0.001065 
0.001951 -0.001629 -0.001065 
0.002067 -0.001567 -0.001065 
0.002179 -0.001497 -0.001065 
0.002286 -0.001420 -0.001065 
0.002388 -0.001336 -0.001065 
0.002484 -0.001246 -0.001065 
0.002574 -0.001149 -0.001065 
0.002657 -0.001047 -0.001065 
0.002733 -0.000939 -0.001065 
0.002803 -0.000827 -0.001065 
0.002864 -0.000710 -0.001065 
0.002918 -0.000590 -0.001065 
0.002964 -0.000466 -0.001065 
0.003001 -0.000340 -0.001065 
0.003030 -0.000211 -0.001065 
-0.000077 0.001818 -0.001127 
0.000150 -0.001674 -0.001202 
0.000100 0.001974 -0.001198 
-0.000122 -0.001458 -0.001132 
0.000027 0.001943 -0.001208 
-0.000057 -0.001566 -0.001212 
0.000288 -0.001766 -0.001226 
0.000285 0.002068 -0.001206 
0.000527 0.002136 -0.001190 
0.000561 -0.001824 -0.001200 
0.000804 0.002212 -0.001212 
0.000830 -0.001872 -0.001198 
0.001097 0.002217 -0.001200 
0.001120 -0.001893 -0.001207 
0.001247 -0.001890 -0.001211 
0.001236 0.002224 -0.001214 
0.001377 -0.001879 -0.001215 
0.001488 0.002188 -0.001214 
0.001557 0.002146 -0.001188 
0.001474 -0.001831 -0.001181 
0.000863 0.002240 -0.001229 
0.001652 -0.001788 -0.001184 
0.001769 0.002111 -0.001217 
0.001786 -0.001764 -0.001207 
0.001935 0.002048 -0.001221 
0.001861 -0.001730 -0.001203 
0.002096 0.001898 -0.001144 
0.002003 -0.001672 -0.001210 
0.002201 0.001894 -0.001216 
0.002167 -0.001592 -0.001220 
0.003119 0.000707 -0.001250 
0.002368 -0.001422 -0.001201 
0.002477 -0.001348 -0.001216 
0.002491 0.001673 -0.001222 
0.002625 0.001512 -0.001209 
0.002569 -0.001242 -0.001207 
0.002690 -0.001132 -0.001224 
0.002678 0.001447 -0.001208 
0.002747 0.001305 -0.001173 
0.002765 -0.001018 -0.001217 
0.002846 -0.000913 -0.001226 
0.002912 0.001094 -0.001214 
0.002906 -0.000756 -0.001205 
0.002926 -0.000681 -0.001190 
0.003033 0.000830 -0.001223 
0.002985 -0.000536 -0.001190 
0.003064 0.000647 -0.001204 
0.003022 -0.000418 -0.001187 
0.003107 -0.000106 -0.001208 
0.003102 0.000450 -0.001204 
0.003126 0.000147 -0.001208 
0.003123 0.000250 -0.001207 
0.001770 0.002122 -0.001226 
0.002215 -0.001532 -0.001196 
0.000683 -0.001891 -0.001233 
0.000930 -0.001905 -0.001221 
0.002964 -0.000566 -0.001177 
0.003140 -0.000023 -0.001228 
0.000928 0.002232 -0.001219 
0.000392 0.002132 -0.001225 
0.001196 0.002249 -0.001231 
0.000147 -0.001649 -0.001176 
0.000682 0.002201 -0.001219 
0.000643 -0.001882 -0.001233 
-0.000141 -0.001469 -0.001173 
-0.000124 0.001800 -0.001157 
0.000028 -0.001657 -0.001237 
0.000155 -0.001704 -0.001225 
0.000423 -0.001768 -0.001181 
0.000354 0.002041 -0.001116 
0.001826 0.002061 -0.001189 
0.000706 -0.001830 -0.001165 
0.000962 -0.001876 -0.001190 
0.001002 0.002200 -0.001180 
0.001116 0.002195 -0.001172 
0.001294 -0.001866 -0.001190 
0.001160 -0.001920 -0.001231 
0.001351 -0.001899 -0.001228 
0.001570 -0.001797 -0.001163 
0.001272 0.002204 -0.001197 
0.001441 0.002232 -0.001239 
0.001409 -0.001865 -0.001207 
0.001582 0.002125 -0.001166 
0.001597 -0.001850 -0.001228 
0.001753 -0.001795 -0.001223 
0.001817 -0.001738 -0.001192 
0.001675 -0.001767 -0.001163 
0.001795 0.002071 -0.001186 
0.001942 0.002009 -0.001188 
0.001865 -0.001758 -0.001227 
0.002104 0.001951 -0.001214 
0.001940 -0.001679 -0.001187 
0.002174 0.001925 -0.001226 
0.002035 -0.001611 -0.001159 
0.002207 -0.001594 -0.001237 
0.002223 0.001850 -0.001191 
0.002307 0.001800 -0.001201 
0.002416 0.001735 -0.001218 
0.002303 0.001833 -0.001223 
0.002447 -0.001387 -0.001224 
0.002442 0.001666 -0.001181 
0.002542 0.001589 -0.001199 
0.002633 0.001538 -0.001228 
